Key,en,zh-Hans,ja,ko
MainMenu_Username,Username,用户名,ユーザー名,사용자 이름
MainMenu_Title,SynthMind - AI Sandbox Playground,心智合成：AI创意沙盒,SynthMind - AI サンドボックス プレイグラウンド,SynthMind - AI 샌드박스 플레이그라운드
MainMenu_Password,Password,密码,パスワード,비밀번호
MainMenu_Notice_Success,Login successful!,登录成功！,ログインに成功しました！,로그인 성공!
MainMenu_Notice_Failed,Login failed: {0},登录失败：{0},ログインに失敗しました：{0},로그인 실패: {0}
MainMenu_Notice_EmptyUsernameOrPassword,Username and password cannot be empty.,用户名或密码不能为空,ユーザー名とパスワードを空にすることはできません。,사용자 이름과 비밀번호는 비워 둘 수 없습니다.
MainMenu_Login,LOGIN,登录,ログイン,로그인
MainMenu_Home,HOME,首页,ホーム,홈
MainMenu_Chat,CHAT,会话,チャット,채팅
MainMenu_SandBox,SANDBOX,沙盒,サンドボックス,샌드박스
MainMenu_Setting,SETTING,设置,設定,설정
MainMenu_About,ABOUT,关于本应用,このアプリについて,앱 소개
MainMenu_Setting_LanguageTitle,Language Setting,语言设置,言語設定,언어 설정
